SYMPTOM 1,SYMPTOM 2,SYMPTOM 3,DISEASE,TREATMENT
Dizziness,Nausea,Vomiting,Inner ear Infection,Vestibular rehabilitation Therapy
Dizziness,Vomiting,Nausea,Inner ear Infection,Vestibular rehabilitation Therapy
Nausea,Vomiting,Dizziness,Inner ear Infection,Vestibular rehabilitation Therapy
Nausea,Dizziness,Vomiting,Inner ear Infection,Vestibular rehabilitation Therapy
Vomiting,Nausea,Dizziness,Inner ear Infection,Vestibular rehabilitation Therapy
Vomiting,Dizziness,Nausea,Inner ear Infection,Vestibular rehabilitation Therapy
Eardrum Bulge,Earache,Fluid Drainage,Middle Ear Infection,"Decongestant,nasal steroids or antihistamine"
Eardrum Bulge,Fluid drainage from the ear,Earache,Middle Ear Infection,"Decongestant,nasal steroids or antihistamine"
Earache,Fluid drainage from the ear,Eardrum Bulge,Middle Ear Infection,"Decongestant,nasal steroids or antihistamine"
Earache,Eardrum Bulge,Fluid Drainage from the ear,Middle Ear Infection,"Decongestant,nasal steroids or antihistamine"
Fluid drainage from the ear,Earache,Eardrum Bulge,Middle Ear Infection,"Decongestant,nasal steroids or antihistamine"
Fluid drainage from the ear,Eardrum Bulge,Earache,Middle Ear Infection,"Decongestant,nasal steroids or antihistamine"
Painful,Tender,Red,Outer Ear Infection,Antibiotics
Painful,Red,Tender,Outer Ear Infection,Antibiotics
Painful,Tender,Swollen,Outer Ear Infection,Antibiotics
Painful,Swollen,Tender,Outer Ear Infection,Antibiotics
Painful,Red,Swollen,Outer Ear Infection,Antibiotics
Painful,Swollen,Red,Outer Ear Infection,Antibiotics
Tender,Painful,Red,Outer Ear Infection,Antibiotics
Tender,Red,Painful,Outer Ear Infection,Antibiotics
Tender,Painful,Swollen,Outer Ear Infection,Antibiotics
Tender,Swollen,Painful,Outer Ear Infection,Antibiotics
Tender,Red,Swollen,Outer Ear Infection,Antibiotics
Tender,Swollen,Red,Outer Ear Infection,Antibiotics
Red,Painful,Tender,Outer Ear Infection,Antibiotics
Red,Tender,Painful,Outer Ear Infection,Antibiotics
Red,Painful,Swollen,Outer Ear Infection,Antibiotics
Red,Swollen,Painful,Outer Ear Infection,Antibiotics
Red,Tender,Swollen,Outer Ear Infection,Antibiotics
Red,Swollen,Tender,Outer Ear Infection,Antibiotics
Swollen,Tender,Painful,Outer Ear Infection,Antibiotics
Swollen,Painful,Tender,Outer Ear Infection,Antibiotics
Swollen,Red,Painful,Outer Ear Infection,Antibiotics
Swollen,Painful,Red,Outer Ear Infection,Antibiotics
Swollen,Tender,Red,Outer Ear Infection,Antibiotics
Swollen,Red,Tender,Outer Ear Infection,Antibiotics
